,cbsacode,countyfips,msa,pop
0,13820,01007,13820,1088170
1,13820,01009,13820,1088170
2,13820,01021,13820,1088170
3,13820,01073,13820,1088170
4,13820,01115,13820,1088170
5,13820,01117,13820,1088170
6,13820,01127,13820,1088170
7,38060,04013,38060,4860338
8,46060,04019,46060,1038476
9,38060,04021,38060,4860338
10,32820,05035,32820,1343150
11,30780,05045,30780,740602
12,30780,05053,30780,740602
13,30780,05085,30780,740602
14,30780,05105,30780,740602
15,30780,05119,30780,740602
16,30780,05125,30780,740602
17,41860,06001,41860,4709220
18,41860,06013,41860,4709220
19,40900,06017,40900,2338866
20,23420,06019,23420,990204
21,12540,06029,12540,892458
22,31080,06037,31080,13211027
23,41860,06041,41860,4709220
24,31080,06059,31080,13211027
25,40900,06061,40900,2338866
26,40140,06065,40140,4600396
27,40900,06067,40900,2338866
28,41940,06069,41940,1985926
29,40140,06071,40140,4600396
30,41740,06073,41740,3323970
31,41860,06075,41860,4709220
32,44700,06077,44700,751615
33,41860,06081,41860,4709220
34,41940,06085,41940,1985926
35,33700,06099,33700,546235
36,37100,06111,37100,845599
37,40900,06113,40900,2338866
38,19740,08001,19740,2928437
39,19740,08005,19740,2928437
40,19740,08014,19740,2928437
41,19740,08019,19740,2928437
42,19740,08031,19740,2928437
43,19740,08035,19740,2928437
44,19740,08039,19740,2928437
45,17820,08041,17820,735480
46,19740,08047,19740,2928437
47,19740,08059,19740,2928437
48,19740,08093,19740,2928437
49,17820,08119,17820,735480
50,14860,09001,14860,944306
51,25540,09003,25540,1205842
52,25540,09007,25540,1205842
53,35300,09009,35300,855733
54,25540,09013,25540,1205842
55,49340,09015,49340,943312
56,37980,10003,37980,6092403
57,47900,11001,47900,6250309
58,27260,12003,27260,1533796
59,37340,12009,37340,594001
60,33100,12011,33100,6129858
61,27260,12019,27260,1533796
62,27260,12031,27260,1533796
63,19660,12035,19660,658961
64,45300,12053,45300,3152928
65,45300,12057,45300,3152928
66,36740,12069,36740,2560260
67,15980,12071,15980,756570
68,35840,12081,35840,821613
69,33100,12086,33100,6129858
70,27260,12089,27260,1533796
71,36740,12095,36740,2560260
72,36740,12097,36740,2560260
73,33100,12099,33100,6129858
74,45300,12101,45300,3152928
75,45300,12103,45300,3152928
76,29460,12105,29460,705735
77,27260,12109,27260,1533796
78,35840,12115,35840,821613
79,36740,12117,36740,2560260
80,19660,12127,19660,658961
81,12060,13013,12060,5947008
82,12060,13015,12060,5947008
83,12260,13033,12260,605303
84,12060,13035,12060,5947008
85,12060,13045,12060,5947008
86,16860,13047,16860,561055
87,12060,13057,12060,5947008
88,12060,13063,12060,5947008
89,12060,13067,12060,5947008
90,12260,13073,12260,605303
91,12060,13077,12060,5947008
92,16860,13083,16860,561055
93,12060,13085,12060,5947008
94,12060,13089,12060,5947008
95,12060,13097,12060,5947008
96,12060,13113,12060,5947008
97,12060,13117,12060,5947008
98,12060,13121,12060,5947008
99,12060,13135,12060,5947008
100,12060,13143,12060,5947008
101,12060,13149,12060,5947008
102,12060,13151,12060,5947008
103,12060,13159,12060,5947008
104,12060,13171,12060,5947008
105,12260,13181,12260,605303
106,12260,13189,12260,605303
107,12060,13199,12060,5947008
108,12060,13211,12060,5947008
109,12060,13217,12060,5947008
110,12060,13223,12060,5947008
111,12060,13227,12060,5947008
112,12060,13231,12060,5947008
113,12260,13245,12260,605303
114,12060,13247,12060,5947008
115,12060,13255,12060,5947008
116,16860,13295,16860,561055
117,12060,13297,12060,5947008
118,14260,16001,14260,730483
119,14260,16015,14260,730483
120,14260,16027,14260,730483
121,14260,16045,14260,730483
122,14260,16073,14260,730483
123,41180,17005,41180,2806349
124,41180,17013,41180,2806349
125,41180,17027,41180,2806349
126,16980,17031,16980,9478801
127,16980,17037,16980,9478801
128,16980,17043,16980,9478801
129,16980,17063,16980,9478801
130,41180,17083,41180,2806349
131,16980,17089,16980,9478801
132,16980,17093,16980,9478801
133,16980,17097,16980,9478801
134,16980,17111,16980,9478801
135,41180,17117,41180,2806349
136,41180,17119,41180,2806349
137,41180,17133,41180,2806349
138,41180,17163,41180,2806349
139,16980,17197,16980,9478801
140,26900,18011,26900,2050933
141,26900,18013,26900,2050933
142,31140,18019,31140,1262287
143,17140,18029,17140,2214265
144,31140,18043,31140,1262287
145,26900,18057,26900,2050933
146,26900,18059,26900,2050933
147,31140,18061,31140,1262287
148,26900,18063,26900,2050933
149,16980,18073,16980,9478801
150,26900,18081,26900,2050933
151,16980,18089,16980,9478801
152,26900,18095,26900,2050933
153,26900,18097,26900,2050933
154,26900,18109,26900,2050933
155,16980,18111,16980,9478801
156,17140,18115,17140,2214265
157,16980,18127,16980,9478801
158,26900,18133,26900,2050933
159,31140,18143,31140,1262287
160,26900,18145,26900,2050933
161,17140,18161,17140,2214265
162,31140,18175,31140,1262287
163,19780,19049,19780,690585
164,19780,19077,19780,690585
165,36540,19085,36540,940163
166,19780,19121,19780,690585
167,36540,19129,36540,940163
168,19780,19153,19780,690585
169,36540,19155,36540,940163
170,19780,19181,19780,690585
171,48620,20015,48620,639668
172,48620,20079,48620,639668
173,28140,20091,28140,2144129
174,48620,20095,48620,639668
175,28140,20103,28140,2144129
176,28140,20107,28140,2144129
177,28140,20121,28140,2144129
178,48620,20173,48620,639668
179,48620,20191,48620,639668
180,28140,20209,28140,2144129
181,17140,21015,17140,2214265
182,17140,21023,17140,2214265
183,31140,21029,31140,1262287
184,17140,21037,17140,2214265
185,17140,21077,17140,2214265
186,17140,21081,17140,2214265
187,31140,21103,31140,1262287
188,31140,21111,31140,1262287
189,17140,21117,17140,2214265
190,31140,21185,31140,1262287
191,17140,21191,17140,2214265
192,31140,21211,31140,1262287
193,31140,21215,31140,1262287
194,31140,21223,31140,1262287
