msa_title,msa,pop
"Albertville, AL Micro Area; Alabama",10700,98712
"Alexander City, AL Micro Area; Alabama",10760,41070
"Anniston-Oxford, AL Metro Area; Alabama",11500,116141
"Auburn-Opelika, AL Metro Area; Alabama",12220,196614
"Birmingham, AL Metro Area; Alabama",13820,1181432
"Columbus, GA-AL Metro Area (part); Alabama",17980,58858
"Cullman, AL Micro Area; Alabama",18980,89463
"Daphne-Fairhope-Foley, AL Metro Area; Alabama",19300,239945
"Decatur, AL Metro Area; Alabama",19460,156924
"Dothan, AL Metro Area; Alabama",20020,151804
"Enterprise, AL Micro Area; Alabama",21460,54231
"Eufaula, AL-GA Micro Area (part); Alabama",21640,24757
"Florence-Muscle Shoals, AL Metro Area; Alabama",22520,152685
"Fort Payne, AL Micro Area; Alabama",22840,71946
"Gadsden, AL Metro Area; Alabama",23460,103208
"Huntsville, AL Metro Area; Alabama",26620,504712
"LaGrange, GA-AL Micro Area (part); Alabama",29300,34450
"Mobile, AL Metro Area; Alabama",33660,413162
"Montgomery, AL Metro Area; Alabama",33860,385159
"Ozark, AL Micro Area; Alabama",37120,49516
"Russellville, AL Micro Area; Alabama",40770,31978
"Scottsboro, AL Micro Area; Alabama",42460,52839
"Selma, AL Micro Area; Alabama",42820,37536
"Talladega-Sylacauga, AL Micro Area; Alabama",45180,91493
"Troy, AL Micro Area; Alabama",45980,32953
"Tuscaloosa, AL Metro Area; Alabama",46220,275217
"Anchorage, AK Metro Area; Alaska",11260,399746
"Fairbanks-College, AK Metro Area; Alaska",21820,95555
"Juneau, AK Micro Area; Alaska",27940,31969
"Ketchikan, AK Micro Area; Alaska",28540,13870
"Flagstaff, AZ Metro Area; Arizona",22380,144643
"Lake Havasu City-Kingman, AZ Metro Area; Arizona",29420,217420
"Nogales, AZ Micro Area; Arizona",35700,48209
"Payson, AZ Micro Area; Arizona",37740,53610
"Phoenix-Mesa-Chandler, AZ Metro Area; Arizona",38060,4941206
"Prescott Valley-Prescott, AZ Metro Area; Arizona",39150,241656
"Safford, AZ Micro Area; Arizona",40940,38860
"Show Low, AZ Micro Area; Arizona",43320,107744
"Sierra Vista-Douglas, AZ Metro Area; Arizona",43420,125458
"Tucson, AZ Metro Area; Arizona",46060,1049947
"Yuma, AZ Metro Area; Arizona",49740,207685
"Arkadelphia, AR Micro Area; Arkansas",11660,21378
"Batesville, AR Micro Area; Arkansas",12900,38120
"Blytheville, AR Micro Area; Arkansas",14180,39749
"Camden, AR Micro Area; Arkansas",15780,27034
"El Dorado, AR Micro Area; Arkansas",20980,38368
"Fayetteville-Springdale-Rogers, AR Metro Area; Arkansas",22220,563436
"Forrest City, AR Micro Area; Arkansas",22620,22740
"Fort Smith, AR-OK Metro Area (part); Arkansas",22900,189240
"Harrison, AR Micro Area; Arkansas",25460,45071
"Hot Springs, AR Metro Area; Arkansas",26300,100062
"Jonesboro, AR Metro Area; Arkansas",27860,134837
"Little Rock-North Little Rock-Conway, AR Metro Area; Arkansas",30780,753605
"Magnolia, AR Micro Area; Arkansas",31620,22527
"Malvern, AR Micro Area; Arkansas",31680,33142
"Memphis, TN-MS-AR Metro Area (part); Arkansas",32820,47609
"Mountain Home, AR Micro Area; Arkansas",34260,42150
"Paragould, AR Micro Area; Arkansas",37500,46182
"Pine Bluff, AR Micro Area; Arkansas",38220,73271
"Russellville, AR Micro Area; Arkansas",40780,84025
"Searcy, AR Micro Area; Arkansas",42620,77395
"Texarkana, TX-AR Metro Area (part); Arkansas",45500,54547
