msa,Geo_NAME,pop
10700,Albertville,96137
10760,Alexander City,51146
11500,Anniston-Oxford,114324
12120,Atmore,36775
12220,Auburn-Opelika,163461
13820,Birmingham-Hoover,1088170
17980,Columbus,57938
18980,Cullman,83345
19300,Daphne-Fairhope-Foley,218289
19460,Decatur,152321
20020,Dothan,148825
21460,Enterprise,52238
21640,Eufaula,25026
22520,Florence-Muscle Shoals,147827
22840,Fort Payne,71430
23460,Gadsden,102721
26620,Huntsville,464607
27530,Jasper,63802
29300,LaGrange,33427
33660,Mobile,430313
33860,Montgomery,373552
37120,Ozark,49293
42460,Scottsboro,51765
42820,Selma,38184
45180,Talladega-Sylacauga,80244
45980,Troy,33274
46220,Tuscaloosa,251878
11260,Anchorage,399450
21820,Fairbanks,98455
27940,Juneau,32099
28540,Ketchikan,13833
22380,Flagstaff,142254
29420,Lake Havasu City-Kingman,210998
35700,Nogales,46594
37740,Payson,53846
38060,Phoenix-Mesa-Chandler,4860338
39150,Prescott Valley-Prescott,232396
40940,Safford,38304
43320,Show Low,110271
43420,Sierra Vista-Douglas,126442
46060,Tucson,1038476
49740,Yuma,211931
11660,Arkadelphia,22341
12900,Batesville,54802
14180,Blytheville,41396
15780,Camden,28757
20980,El Dorado,39089
22220,Fayetteville-Springdale-Rogers,526101
22620,Forrest City,25477
22900,Fort Smith,208573
25460,Harrison,45278
25760,Helena-West Helena,18151
26260,Hope,29944
26300,Hot Springs,99043
27860,Jonesboro,132828
30780,Little Rock-North Little Rock-Conway,740602
31620,Magnolia,23620
31680,Malvern,33667
32820,Memphis,48381
34260,Mountain Home,41673
37500,Paragould,45197
38220,Pine Bluff,89464
40780,Russellville,85351
42620,Searcy,78725
45500,Texarkana,55860
12540,Bakersfield,892458
17020,Chico,223344
17340,Clearlake,64276
18860,Crescent City,27692
20940,El Centro,180580
21700,Eureka-Arcata,136101
23420,Fresno,990204
25260,Hanford-Corcoran,151090
31080,Los Angeles-Long Beach-Anaheim,13211027
31460,Madera,155925
32900,Merced,273661
33700,Modesto,546235
34900,Napa,138572
37100,Oxnard-Thousand Oaks-Ventura,845599
39780,Red Bluff,64176
39820,Redding,179267
