msa,pop
10700,98712
10760,41070
11500,116141
12220,196614
13820,1181432
17980,58858
18980,89463
19300,239945
19460,156924
20020,151804
21460,54231
21640,24757
22520,152685
22840,71946
23460,103208
26620,504712
29300,34450
33660,413162
33860,385159
37120,49516
40770,31978
42460,52839
42820,37536
45180,91493
45980,32953
46220,275217
11260,399746
21820,95555
27940,31969
28540,13870
22380,144643
29420,217420
35700,48209
37740,53610
38060,4941206
39150,241656
40940,38860
43320,107744
43420,125458
46060,1049947
49740,207685
11660,21378
12900,38120
14180,39749
15780,27034
20980,38368
22220,563436
22620,22740
22900,189240
25460,45071
26300,100062
27860,134837
30780,753605
31620,22527
31680,33142
32820,47609
34260,42150
37500,46182
38220,73271
40780,84025
42620,77395
45500,54547
12540,910433
13860,18803
17020,209470
17340,68139
18860,27293
20940,179319
21700,135418
23420,1170942
23820,1695
25260,152830
31080,13012469
32900,285597
33700,552250
34900,136070
37100,838259
39780,65520
39820,181554
40140,4637725
40900,2406563
41500,435834
41740,3282782
41860,4653593
41940,1969353
42020,281486
42100,266021
42200,443975
42220,485642
43760,54873
44700,787416
45000,31177
46020,102452
46380,90709
46700,450824
47300,475774
49700,182050
10480,27622
14500,328317
14720,38268
15860,49394
17820,760782
19740,2977085
20420,56088
20780,55374
22660,363561
22820,29186
24300,157316
24540,340711
33940,43272
39380,168726
40090,79153
44460,38248
44540,21067
14860,947528
25540,1144012
35300,566803
35980,279025
39480,95829
45860,112848
47930,452303
20100,185043
37980,573030
42580,247799
47900,672079
11580,34719
15980,792692
17500,53122
18880,294127
19660,689939
23540,344521
26140,158693
27260,1645707
28580,81840
29380,70755
29460,760961
33100,6138876
34940,387681
35840,865031
36100,387697
36380,40249
36740,2721022
37260,74235
37340,620533
37460,206627
37860,516994
38940,506701
39460,195083
42680,163856
42700,103808
45220,388298
45300,3240469
48680,137536
10500,146768
11140,33713
12020,218190
12060,6176937
12260,419565
12460,29118
15260,114345
15660,58336
16340,43365
16860,153001
17980,267278
18380,19995
18460,46948
19140,143400
20060,51422
20140,58811
21640,2092
22340,17138
23580,208395
25980,84338
27600,80640
27700,30519
28680,56036
29300,69821
31420,234040
33300,43669
34220,45907
40660,98985
42340,412089
44340,92112
44900,24975
45580,27856
45620,71752
45700,50237
45740,26842
46660,149139
47080,35618
47580,195171
48180,55954
25900,203684
27980,164675
28180,73610
46520,1003666
13940,48993
14260,790640
14940,4681
15420,47087
17660,177736
25200,31010
26820,161944
27220,12101
30300,42477
30860,14715
34140,40315
34300,29046
36620,26190
38540,88457
39940,67279
41760,49456
46300,116909
14010,170882
15460,6284
15900,33259
16020,5042
16060,52706
16460,37294
16580,236196
16660,46689
16980,8639358
19180,73179
19340,207562
19500,102591
19940,34058
20820,44883
23300,44042
23660,49294
27300,37468
28100,106833
30660,27870
31380,27102
32060,66902
34500,36808
36837,147676
37140,13958
37900,365773
38700,35659
39500,65166
40300,51536
40420,336605
41180,678211
44100,207386
44580,55192
45380,33684
11420,34648
12140,43584
13260,45077
14020,161256
16980,720197
17140,79750
18020,82881
18220,23390
18820,38155
19540,35995
21140,206868
21780,269721
23060,451440
23140,32967
24600,37091
24700,26411
26540,36757
26900,2106327
27540,43563
28340,47417
29020,83610
29200,225019
30900,37703
31140,271264
31500,33074
31980,66377
33140,112141
33900,24709
34620,112109
35220,48896
37940,35772
38500,46225
39980,66377
42980,46319
43780,272574
45460,168850
47180,36108
47340,30901
47700,80357
47780,33442
11180,125261
15460,38597
16140,20677
16300,275960
17540,46383
19340,174302
19780,720331
20220,98948
22700,36848
22800,33175
26980,177420
30180,25699
32260,39971
32380,50165
34700,42735
36540,122615
36820,22045
36900,35265
37800,33551
43580,105760
43980,16446
44020,17844
44740,20684
47940,168163
11680,34487
11860,16211
19980,34133
21380,34724
23780,38001
24460,25275
25700,28870
26740,61693
27900,19236
28140,908882
29940,119547
30580,21640
31740,133413
32700,30130
36840,25994
38260,38963
41140,7492
41460,59583
45820,232724
48620,648935
14540,183194
15820,37483
17140,457783
17300,86810
18340,149625
19220,55123
21060,126480
23180,75661
23190,19786
23980,55042
25775,57366
26580,126368
30460,517378
31140,1090583
31580,45143
32460,36612
33180,23878
34460,47286
34660,37882
36980,112322
37140,88966
38210,92808
40080,124287
43700,65503
10780,150593
12940,871379
14220,45238
19760,36646
25220,135218
26380,204032
